很	2358469.000000
好	1715777.000000
不错	1279213.000000
质量	638254.000000
喜欢	595982.000000
不	368193.000000
非常	357632.000000
穿	356995.000000
衣服	349260.000000
满意	337429.000000
好评	336714.000000
可以	302556.000000
有点	278206.000000
挺好	258304.000000
舒服	255767.000000
没有	249660.000000
物流	238664.000000
东西	237346.000000
好看	237103.000000
宝贝	228671.000000
包装	203554.000000
感觉	203072.000000
送	193879.000000
客服	185732.000000
发货	179291.000000
效果	172627.000000
很快	164217.000000
颜色	163591.000000
挺	161900.000000
没	158924.000000
正品	158310.000000
味道	156411.000000
穿着	148140.000000
快	147274.000000
卖家	146260.000000
好吃	143791.000000
快递	134982.000000
合适	134182.000000
购买	133704.000000
还行	121312.000000
赞	121056.000000
很好	120369.000000
真的	120001.000000
太	118607.000000
特别	118161.000000
服务	115217.000000
价格	114634.000000
鞋子	106034.000000
再来	99389.000000
便宜	98177.000000
裤子	96226.000000
没用	91858.000000
比较	91350.000000
款式	90485.000000
很漂亮	90143.000000
值得	88866.000000
划算	84752.000000
希望	81597.000000
还好	79819.000000
面料	79375.000000
做工	79066.000000
应该	78817.000000
实惠	77807.000000
超级	72618.000000
起来	71970.000000
点	69942.000000
大小	68715.000000
活动	68682.000000
图片	68512.000000
漂亮	68219.000000
力	68121.000000
谢谢	67556.000000
评价	67250.000000
店家	66880.000000
服务态度	64859.000000
很多	63896.000000
态度	63373.000000
一如既往	62853.000000
推荐	56167.000000
货	55810.000000
赠品	55515.000000
宝宝	55150.000000
合身	54746.000000
双十	54266.000000
高	52318.000000
看着	51865.000000
觉得	51014.000000
购物	50512.000000
适合	50375.000000
老公	50144.000000
问题	49220.000000
尺码	48756.000000
爱	45871.000000
不会	45509.000000
很棒	45491.000000
好好	44990.000000
之前	44602.000000
光顾	43472.000000
差	43319.000000
哒	43261.000000
好多	43186.000000
薄	43109.000000
码	42305.000000
舒适	42152.000000
老	41916.000000
多次	41904.000000
使用	41623.000000
现在	41251.000000
色差	40904.000000
孩子	40821.000000
继续	40653.000000
料子	39845.000000
描述	39719.000000
这家	39459.000000
性价比	39282.000000
做	39076.000000
想象	39007.000000
不好	38966.000000
正好	38366.000000
这款	38070.000000
真心	38000.000000
蛮	37840.000000
分	37559.000000
五分	37393.000000
产品	37211.000000
拍	37203.000000
方便	36841.000000
实体店	36758.000000
棒	36660.000000
柔软	36547.000000
棒棒	36347.000000
家	36226.000000
厚实	36086.000000
手感	35732.000000
以前	35673.000000
牌子	35604.000000
顾客	35497.000000
礼物	35496.000000
物美价廉	35272.000000
妈妈	35206.000000
帮	35181.000000
很大	35049.000000
耐心	34908.000000
里面	34583.000000
慢	33391.000000
可爱	32682.000000
品牌	32049.000000
超	31760.000000
优惠	31601.000000
看起来	31593.000000
刚好	31555.000000
换	31248.000000
挺不错	31122.000000
贵	30643.000000
几天	30346.000000
儿子	30238.000000
长	29792.000000
超值	29565.000000
裙子	29257.000000
面膜	28931.000000
同事	28899.000000
偏	28590.000000
失望	28585.000000
打开	28467.000000
总体	28244.000000
追评	28198.000000
版型	28056.000000
之后	28040.000000
一件	27755.000000
评	27575.000000
你家	27318.000000
挺快	27244.000000
期待	27160.000000
夏天	26956.000000
买大	26507.000000
刚刚	26415.000000
先	26400.000000
想	26298.000000
需要	26296.000000
好用	26145.000000
偏大	26109.000000
厚	26102.000000
真是	26024.000000
这件	25785.000000
精致	25614.000000
支持	25588.000000
看到	25507.000000
不能	25345.000000
追加	25197.000000
容易	24658.000000
试	24513.000000
包包	24275.000000
会来	24175.000000
发	23811.000000
稍微	23652.000000
暖和	23640.000000
挺舒服	23496.000000
太慢	23367.000000
宽松	23263.000000
几次	23023.000000
价钱	22992.000000
布料	22866.000000
上身	22799.000000
不要	22736.000000
更	22550.000000
鞋	22431.000000
硬	22335.000000
建议	22175.000000
可能	22089.000000
信赖	22055.000000
值	21729.000000
囤货	21427.000000
样子	21327.000000
老板	21131.000000
皮肤	21018.000000
干净	20967.000000
显瘦	20918.000000
纯棉	20678.000000
不一样	20575.000000
女儿	20441.000000
喝	20315.000000
热情	20290.000000
习惯	19901.000000
更好	19887.000000
实用	19842.000000
一码	19822.000000
香	19630.000000
本来	19558.000000
实物	19513.000000
到货	19393.000000
干	19325.000000
开心	19262.000000
脚	19056.000000
超快	19043.000000
掉色	18929.000000
很正	18919.000000
包	18833.000000
没穿	18502.000000
五星	18432.000000
码数	18402.000000
速度快	18207.000000
两个	18191.000000
惊喜	18186.000000
评论	18117.000000
商家	18056.000000
感谢	18056.000000
买到	18042.000000
书	17982.000000
时	17842.000000
正	17815.000000
两天	17776.000000
带	17714.000000
这种	17703.000000
顺丰	17662.000000
试用	17487.000000
试穿	17484.000000
物超所值	17457.000000
退	17453.000000
太大	17205.000000
口感	17195.000000
第二天	17101.000000
放心	17038.000000
发现	17037.000000
只能	16967.000000
时间	16894.000000
精细	16893.000000
回来	16856.000000
件	16820.000000
弹性	16771.000000
保湿	16764.000000
平时	16763.000000
店里	16536.000000
价	16497.000000
绝对	16485.000000
挺好用	16459.000000
短	16427.000000
晚	16426.000000
超好	16149.000000
斤	16013.000000
搭	15990.000000
及时	15923.000000
修身	15911.000000
真	15832.000000
想要	15784.000000
狗狗	15761.000000
衣衣	15748.000000
礼品	15707.000000
物有所值	15706.000000
关注	15687.000000
一般般	15670.000000
款	15617.000000
少	15544.000000
安装	15444.000000
手机	15333.000000
好像	15314.000000
必须	15173.000000
直接	15162.000000
摸	15140.000000
相当	15127.000000
一天	15115.000000
设计	15095.000000
整体	15065.000000
